User SID,Item,Region,Actual QTY,Account ID,Account Name,Service ID,Service Name,Warnings,How to fix
003926,REDISaaS (Shared),jpw1,6,01061f61-4a75-5e72-925f-4889d247de18,RIT Infrastructure Common,002428,RWASP Redis Service,,
000055,Redis Baremetal Host,jpe2,3,010fa37d-28e3-552a-ace6-323ceb899eae,Browsing History,002428,RWASP Redis Service,Account usage exceeds 12 month max abs diff,Please check if the change in usage is as expected.
000055,REDISaaS Dedicated Basic(BM),jpe2,6,010fa37d-28e3-552a-ace6-323ceb899eae,Browsing History,002428,RWASP Redis Service,,
000074,Redis Baremetal Host,jpe2,3,0640de08-3fe5-53b8-88fc-8246e19e9bee,MP Rakuten Calendar,002428,RWASP Redis Service,,
000074,REDISaaS (Shared),jpe2,12,0640de08-3fe5-53b8-88fc-8246e19e9bee,MP Rakuten Calendar,002428,RWASP Redis Service,,
000074,REDISaaS (Shared),jpw1,6,0640de08-3fe5-53b8-88fc-8246e19e9bee,MP Rakuten Calendar,002428,RWASP Redis Service,,
003065,REDISaaS (Shared),jpe2,18,0b43e2c8-2271-5291-832e-3cc12519ae8e,PayGuard Case Management,002428,RWASP Redis Service,,
002938,Redis Baremetal Host,jpe2,3,0dee9cd2-0910-5c8e-8806-17dbf00ebd16,MP Rakuten Point Mall,002428,RWASP Redis Service,,
002938,Redis Baremetal Host (old generation),jpe2,3,0dee9cd2-0910-5c8e-8806-17dbf00ebd16,MP Rakuten Point Mall,002428,RWASP Redis Service,,
002938,REDISaaS (Shared),jpe2,24,0dee9cd2-0910-5c8e-8806-17dbf00ebd16,MP Rakuten Point Mall,002428,RWASP Redis Service,,
002938,REDISaaS (Shared),jpw2,12,0dee9cd2-0910-5c8e-8806-17dbf00ebd16,MP Rakuten Point Mall,002428,RWASP Redis Service,,
004662,REDISaaS Dedicated Basic(BM),jpe2,6,0f8d8752-8cdf-5bf5-bed5-7ccf729aa5fb,Japan Ichiba Checkout,002428,RWASP Redis Service,,
001122,Redis Baremetal Host (old generation),jpe2,3,10767895-50ef-5684-8fce-71c410e2006d,Room,002428,RWASP Redis Service,,
001122,REDISaaS (Shared),jpe1,12,10767895-50ef-5684-8fce-71c410e2006d,Room,002428,RWASP Redis Service,,
001122,REDISaaS (Shared),jpe2,24,10767895-50ef-5684-8fce-71c410e2006d,Room,002428,RWASP Redis Service,,
001153,REDISaaS (Shared),jpe2,12,10a6322f-e237-5614-ac1c-7a98e4cb2d18,MP Rakuten DSP [DSP] (Subsidiary Capitalizable),002428,RWASP Redis Service,,
002843,REDISaaS (Shared),jpe2,6,1110d6b4-7567-50a2-abf0-d077257df104,Cloud Core Services,002428,RWASP Redis Service,,
004415,REDISaaS (Shared),jpe2,12,172dfc59-66a2-5a07-9996-bbb865cfab3b,Phone Fortune Telling,002428,RWASP Redis Service,,
001160,Redis Baremetal Host,jpe2,3,17f89451-5357-5b71-8227-b8249fa57d4e,MP Amaterasu (Subsidiary Capitalizable),002428,RWASP Redis Service,,
001160,REDISaaS (Shared),jpe2,12,17f89451-5357-5b71-8227-b8249fa57d4e,MP Amaterasu (Subsidiary Capitalizable),002428,RWASP Redis Service,,
004126,REDISaaS (Shared),jpe2,30,186f5896-a2f1-5e0a-b56a-7b651b610699,R-Dragon App,002428,RWASP Redis Service,,
004126,REDISaaS (Shared),jpw1,12,186f5896-a2f1-5e0a-b56a-7b651b610699,R-Dragon App,002428,RWASP Redis Service,,
000125,REDISaaS (Shared),jpe2,12,18944048-ea50-5caf-8e04-5082ffcb6001,BOOKS backend,002428,RWASP Redis Service,,
001928,REDISaaS (Shared),jpe2,18,18de1fd1-907f-5fc0-80f2-a498076186df,Rakuten Collection,002428,RWASP Redis Service,,
002334,REDISaaS (Shared),jpe2,6,1a656563-30e6-56b0-b029-0f4a4c5d114e,reserve / repeat / hampukai step,002428,RWASP Redis Service,,
